rec;hill_term;hill_stats;hill_stats_value
USP;octet_max;estimate;6,71660301953797e-01
USP;octet_max;std.error;6,36043357531071e-02
USP;octet_max;statistic;1,05599766745616e+01
USP;octet_max;p.value;5,87887569111456e-12
USP;octet_zero;estimate;0,00000000000000e+00
USP;octet_zero;std.error;2,88212326714741e-02
USP;octet_zero;statistic;0,00000000000000e+00
USP;octet_zero;p.value;1,00000000000000e+00
USP;EC50;estimate;1,68329927849248e+01
USP;EC50;std.error;7,85464161237325e+00
USP;EC50;statistic;2,14306312313578e+00
USP;EC50;p.value;3,98126087638188e-02
USP;hslope;estimate;4,57742731350722e-01
USP;hslope;std.error;1,02779941728189e-01
USP;hslope;statistic;4,45361929238359e+00
USP;hslope;p.value;9,64583022989071e-05
CAP;octet_max;estimate;9,00000000000000e-01
CAP;octet_max;std.error;1,20118837491599e-01
CAP;octet_max;statistic;7,49258000488847e+00
CAP;octet_max;p.value;2,18275869752967e-09
CAP;octet_zero;estimate;0,00000000000000e+00
CAP;octet_zero;std.error;2,23128246809130e-02
CAP;octet_zero;statistic;0,00000000000000e+00
CAP;octet_zero;p.value;1,00000000000000e+00
CAP;EC50;estimate;1,74881666134821e+02
CAP;EC50;std.error;1,10997427844274e+02
CAP;EC50;statistic;1,57554701519907e+00
CAP;EC50;p.value;1,22293928592237e-01
CAP;hslope;estimate;4,39366396222015e-01
CAP;hslope;std.error;7,64593027428315e-02
CAP;hslope;statistic;5,74640861818752e+00
CAP;hslope;p.value;7,95015529514687e-07
